,input_name,input_id,goes_into_name,goes_into_id,is_type_of_name,is_type_of_id
0,Crystal growing furnaces,N8,Wafer,N26,,
1,Crystal machining tools,N9,Wafer,N26,,
5,Advanced photolithography equipment,N19,Photolithography,N25,,
6,Ion implanters,N17,Wafer,N26,,
7,Photomask (maskless) lithography equipment,N28,Advanced photomask,N33,,
10,Advanced photomask,N33,Photolithography,N25,,
11,Wafer,N26,Deposition,N35,,
12,Photoresist,N31,Photolithography,N25,,
13,Resist processing tools,N32,Photolithography,N25,,
14,Deposition tools,N36,Deposition,N35,,
23,Deposition,N35,Photolithography,N25,,
24,Photolithography,N25,Etch and clean,N46,,
26,Etching and cleaning tools,N55,Etch and clean,N46,,
31,Etch and clean,N46,Chemical mechanical planarization,N57,,
32,Chemical mechanical planarization tools,N86,Chemical mechanical planarization,N57,,
33,Wafer handlers,N11,Wafer and photomask handling,N59,,
34,Photomask handlers,N12,Wafer and photomask handling,N59,,
35,Wafer and photomask handling,N59,Deposition,N35,,
36,Wafer and photomask handling,N59,Photolithography,N25,,
37,Wafer and photomask handling,N59,Etch and clean,N46,,
38,Wafer and photomask handling,N59,Chemical mechanical planarization,N57,,
39,Wafer bonding and aligning tools,N10,Wafer,N26,,
40,Process control,N60,Deposition,N35,,
41,Process control,N60,Photolithography,N25,,
42,Process control,N60,Etch and clean,N46,,
43,Process control,N60,Chemical mechanical planarization,N57,,
44,Wafer inspection equipment,N61,Process control,N60,,
45,Photomask inspection and repair tools,N62,Process control,N60,,
46,Wafer level packaging inspection tools,N63,Process control,N60,,
47,Process monitoring and curve tracing equipment,N64,Process control,N60,,
52,Chemical mechanical planarization,N57,Assembly and packaging,N69,,
53,Assembly inspection tools,N70,Assembly and packaging,N69,,
54,Dicing tools,N71,Assembly and packaging,N69,,
55,Bonding tools,N72,Assembly and packaging,N69,,
59,Packaging tools,N76,Assembly and packaging,N69,,
60,Integrated assembly tools,N77,Assembly and packaging,N69,,
61,Assembly and packaging,N69,Testing,N78,,
62,SoC test equipment,N80,Testing,N78,,
63,Burn-in test equipment,N81,Testing,N78,,
64,Linear and discrete testing tools,N82,Testing,N78,,
65,Handlers and probes,N83,Testing,N78,,
66,Core intellectual property,N85,Logic chip design: Advanced CPUs,N1,,
67,Core intellectual property,N85,Logic chip design: Discrete GPUs,N2,,
68,Core intellectual property,N85,Logic chip design: FPGAs,N3,,
69,Core intellectual property,N85,Logic chip design: AI ASICs,N4,,
70,Electronic design automation software,N84,Logic chip design: Advanced CPUs,N1,,
71,Electronic design automation software,N84,Logic chip design: Discrete GPUs,N2,,
72,Electronic design automation software,N84,Logic chip design: FPGAs,N3,,
73,Electronic design automation software,N84,Logic chip design: AI ASICs,N4,,
74,Chemical mechanical planarization materials,N90,Chemical mechanical planarization,N57,,
75,Deposition materials,N88,Deposition,N35,,
76,Electronic gases,N91,Deposition,N35,,
77,Electronic gases,N91,Photolithography,N25,,
78,Electronic gases,N91,Etch and clean,N46,,
79,Electronic gases,N91,Chemical mechanical planarization,N57,,
80,Electronic gases,N91,Assembly and packaging,N69,,
81,Wet chemicals,N92,Deposition,N35,,
82,Wet chemicals,N92,Photolithography,N25,,
83,Wet chemicals,N92,Etch and clean,N46,,
84,Wet chemicals,N92,Chemical mechanical planarization,N57,,
91,Testing,N78,Finished logic chip,N99,,
92,Packaging materials,N100,Assembly and packaging,N69,,
